"Country","timePeriod","cvG","cvR","cvL","ratioStabilityG","ratioStabilityR","benefitStabilityG","benefitStabilityR","yieldG","yieldR","yieldL","ratioYieldG","ratioYieldR","benefitYieldG","benefitYieldR","asynchrony","diversity","meanNitrogen_t_ha","meanIrrigation_share","instabilityTemp","instabilityPrec"
"Afghanistan",1961,0.0931917991033935,0.0913265819477229,0.0497556686073742,1.87298858023147,1.8355010495063,"winner","winner",4963730.39101637,4097732.28578486,3579684.49954327,0.721168197616449,0.873576956689262,"loser","loser",0.443479715215603,4.46994642093107,0.000461122595007155,6.2875,-31.2330337554689,-9.3147689787814
"Afghanistan",1969,0.166010364294428,0.119378125463503,0.112062076615083,1.48141431346707,1.06528567977149,"winner","winner",5919772.29965368,5103140.32122858,3899060.7466638,0.658650459729997,0.764051251039302,"loser","loser",0.124411009579738,4.51979596828865,0.0025205986682432,6.3225,-15.5494903755638,-4.78798151758763
"Afghanistan",1977,0.180535084712253,0.102121728813165,0.0477257738943759,3.78275866436034,2.13976056290203,"winner","winner",6962007.5412524,6183154.4901406,4209098.05462601,0.604581082350973,0.680736355744897,"loser","loser",0.363073250566785,4.84173324558187,0.00466966295623554,6.60625,-27.5015827836753,-5.47731830597677
"Afghanistan",1985,0.249441321355521,0.328674078950529,0.0631389216203853,3.95067440104941,5.2055700432554,"winner","winner",7508702.42075774,6758664.50262157,3979503.99714596,0.529985578619371,0.588800345926681,"loser","loser",0.526744244506142,4.75903478609027,0.00594301524878367,7.49375,-27.3795577113338,-5.31594895379536
"Afghanistan",1993,0.150120350737061,0.271003726542652,0.196690525287008,0.763231225896658,1.37781790021257,"loser","winner",8372439.86277396,7696235.25905607,3863941.40186323,0.461507214765832,0.502056040622794,"loser","loser",0.214933824381677,4.08803347644565,0.00105743811583754,8.46375,-37.7397561979891,-6.80655453339808
"Afghanistan",2001,0.0419899746494196,0.0314200703660553,0.208307140613295,0.201577221624728,0.150835301533825,"loser","loser",9372634.87375363,9143878.26076538,4840225.451217,0.516420997554399,0.529340539449817,"loser","loser",0.346497156966815,3.92746854418093,0.0024998638969619,8.4675,-22.9981007706311,-5.11897459502505
"Afghanistan",2009,0.0229965996711918,0.0172552568191037,0.139804202714328,0.164491476112363,0.123424449938481,"loser","loser",10543096.6104152,10424415.5999775,6157806.01962641,0.584060475509947,0.590709950171183,"loser","loser",0.344129223706052,3.95279316691922,0.00464031573458068,8.46,-33.7187922684928,-1.60266160735532
"Albania",1961,0.0931917991033935,0.0853072156073983,0.122259109224702,0.762248307666917,0.697757542553423,"loser","loser",4963730.39101637,7548560.10709302,3732612.99936758,0.751977385017338,0.494480132159274,"loser","loser",0.702838768171995,7.54633193969427,0.00968361445783133,16.07375,-35.5874930082703,-5.2418888478743
"Albania",1969,0.166010364294428,0.1886413313912,0.069352342878475,2.3937239522726,2.72004266275118,"winner","winner",5919772.29965368,9296818.57426619,5420584.93554193,0.91567456671586,0.583058052842532,"loser","loser",0.660241370862602,8.61181143870213,0.0506233920443301,26.4525,-46.6953369177726,-7.85382247042128
"Albania",1977,0.180535084712253,0.10386875309333,0.0790971077838903,2.28244862259076,1.31318016553932,"winner","winner",6962007.5412524,11432448.2348185,7550493.7028186,1.08452822811225,0.660444162766722,"winner","loser",0.277440460394757,8.94869560864149,0.0982758620689655,33.4975,-31.1294414067484,-6.2497136088968
"Albania",1985,0.249441321355521,0.268867077678918,0.247802232168555,1.00661450533606,1.08500668184472,"winner","winner",7508702.42075774,12184855.3396584,7016687.55917856,0.934474049708109,0.5758531688383,"loser","loser",0.251645400364431,9.91047523068678,0.0839181802151296,36.24,-50.5409686998349,-15.0749819025337
"Albania",1993,0.150120350737061,0.131117895461349,0.0951103018831667,1.57838160288323,1.37858773303458,"winner","winner",8372439.86277396,9391872.49468765,7667109.63448965,0.915755712809549,0.81635580538667,"loser","loser",0.59041922620505,8.11251443198979,0.0148974130240856,29.99125,-24.0811574621625,-7.70700131538442
"Albania",2001,0.0419899746494196,0.175839847630873,0.0504425827502409,0.832431100075245,3.48594060897949,"loser","winner",9372634.87375363,10653599.7435754,8983799.87562441,0.958513800722348,0.843264257326925,"loser","loser",0.793912269363548,10.7148893501449,0.0450383708370837,31.37875,-35.2056640784962,-8.76546574136583
"Albania",2009,0.0229965996711918,0.0910593445723305,0.0788053112090858,0.291815352523351,1.1554975568935,"loser","winner",10543096.6104152,11885958.1377525,12129184.4509089,1.15043851907103,1.02046333247497,"winner","winner",0.446214367619093,11.927379939311,0.0498920568876773,28.705,-34.0004215960519,-4.98399576900425
